"source","target","type"
"1690561","6700","IS_A_CONTRAINDICATION_FOR"
"1690561","9018","IS_A_CONTRAINDICATION_FOR"
"1688142","1695280","IS_AN_INDICATION_FOR"
"1688142","10422","IS_AN_INDICATION_FOR"
"1688142","1695203","IS_AN_INDICATION_FOR"
"1688142","5998","IS_AN_INDICATION_FOR"
"1688142","6092","IS_AN_INDICATION_FOR"
"1689987","1695035","IS_A_CONTRAINDICATION_FOR"
"1689987","8065","IS_A_CONTRAINDICATION_FOR"
"1689987","1695248","IS_A_CONTRAINDICATION_FOR"
"1689987","1695247","IS_A_CONTRAINDICATION_FOR"
"1689987","1695246","IS_A_CONTRAINDICATION_FOR"
"1689987","1695245","IS_A_CONTRAINDICATION_FOR"
"1689987","1695244","IS_A_CONTRAINDICATION_FOR"
"1689987","1695243","IS_A_CONTRAINDICATION_FOR"
"1689987","1695242","IS_A_CONTRAINDICATION_FOR"
"1689987","1695241","IS_A_CONTRAINDICATION_FOR"
"1689987","1695240","IS_A_CONTRAINDICATION_FOR"
"1689987","1695233","IS_A_CONTRAINDICATION_FOR"
"1689987","1695232","IS_A_CONTRAINDICATION_FOR"
"1689987","1695231","IS_A_CONTRAINDICATION_FOR"
"1689987","6795","IS_A_CONTRAINDICATION_FOR"
"1689987","1695202","IS_A_CONTRAINDICATION_FOR"
"1689987","1695201","IS_A_CONTRAINDICATION_FOR"
"1689987","1695197","IS_A_CONTRAINDICATION_FOR"
"1689987","9854","IS_A_CONTRAINDICATION_FOR"
"1689987","5467","IS_A_CONTRAINDICATION_FOR"
"1689987","7586","IS_A_CONTRAINDICATION_FOR"
"1689987","7591","IS_A_CONTRAINDICATION_FOR"
"1689987","1695074","IS_A_CONTRAINDICATION_FOR"
"1689987","1695073","IS_A_CONTRAINDICATION_FOR"
"1689987","10554","IS_A_CONTRAINDICATION_FOR"
"1689987","9203","IS_A_CONTRAINDICATION_FOR"
"1689987","5895","IS_A_CONTRAINDICATION_FOR"
"1689987","1695071","IS_A_CONTRAINDICATION_FOR"
"1689987","1695070","IS_A_CONTRAINDICATION_FOR"
"1689987","7301","IS_A_CONTRAINDICATION_FOR"
"1689987","7299","IS_A_CONTRAINDICATION_FOR"
"1689987","6982","IS_A_CONTRAINDICATION_FOR"
"1689987","1695069","IS_A_CONTRAINDICATION_FOR"
"1689987","7880","IS_A_CONTRAINDICATION_FOR"
"1689987","1695068","IS_A_CONTRAINDICATION_FOR"
"1689987","1695067","IS_A_CONTRAINDICATION_FOR"
"1689987","1695066","IS_A_CONTRAINDICATION_FOR"
"1689987","1695065","IS_A_CONTRAINDICATION_FOR"
"1689987","10570","IS_A_CONTRAINDICATION_FOR"
"1689987","1695064","IS_A_CONTRAINDICATION_FOR"
"1689987","6534","IS_A_CONTRAINDICATION_FOR"
"1689987","1695063","IS_A_CONTRAINDICATION_FOR"
"1689987","7517","IS_A_CONTRAINDICATION_FOR"
"1689987","1695062","IS_A_CONTRAINDICATION_FOR"
"1689987","1695058","IS_A_CONTRAINDICATION_FOR"
"1689987","6214","IS_A_CONTRAINDICATION_FOR"
"1689987","1695056","IS_A_CONTRAINDICATION_FOR"
"1689987","1695055","IS_A_CONTRAINDICATION_FOR"
"1689987","1695054","IS_A_CONTRAINDICATION_FOR"
"1689987","1695053","IS_A_CONTRAINDICATION_FOR"
"1689987","1695052","IS_A_CONTRAINDICATION_FOR"
"1689987","1695051","IS_A_CONTRAINDICATION_FOR"
"1689987","1695050","IS_A_CONTRAINDICATION_FOR"
"1689987","1695049","IS_A_CONTRAINDICATION_FOR"
"1689987","1695048","IS_A_CONTRAINDICATION_FOR"
"1689987","1695047","IS_A_CONTRAINDICATION_FOR"
"1689987","1695046","IS_A_CONTRAINDICATION_FOR"
"1689987","1695045","IS_A_CONTRAINDICATION_FOR"
"1689987","1695044","IS_A_CONTRAINDICATION_FOR"
"1689987","8852","IS_A_CONTRAINDICATION_FOR"
"1689987","1695043","IS_A_CONTRAINDICATION_FOR"
"1689987","7914","IS_A_CONTRAINDICATION_FOR"
"1689987","9336","IS_A_CONTRAINDICATION_FOR"
"1689987","9333","IS_A_CONTRAINDICATION_FOR"
"1689987","9088","IS_A_CONTRAINDICATION_FOR"
"1689987","1695042","IS_A_CONTRAINDICATION_FOR"
"1689987","7282","IS_A_CONTRAINDICATION_FOR"
"1689987","1695041","IS_A_CONTRAINDICATION_FOR"
"1689987","1695040","IS_A_CONTRAINDICATION_FOR"
"1689987","7813","IS_A_CONTRAINDICATION_FOR"
"1689987","5821","IS_A_CONTRAINDICATION_FOR"
"1689987","1695037","IS_A_CONTRAINDICATION_FOR"
"1689987","1695036","IS_A_CONTRAINDICATION_FOR"
"1689987","1694883","IS_A_CONTRAINDICATION_FOR"
"1689987","5495","IS_A_CONTRAINDICATION_FOR"
"1689987","7034","IS_A_CONTRAINDICATION_FOR"
"1689987","9018","IS_A_CONTRAINDICATION_FOR"
"1689987","6700","IS_A_CONTRAINDICATION_FOR"
"1689987","8180","IS_A_CONTRAINDICATION_FOR"
"1689987","976","IS_A_CONTRAINDICATION_FOR"
"1689987","6922","IS_A_CONTRAINDICATION_FOR"
"1689987","1694939","IS_A_CONTRAINDICATION_FOR"
"1689987","6813","IS_A_CONTRAINDICATION_FOR"
"1689987","5808","IS_A_CONTRAINDICATION_FOR"
"1689987","208","IS_A_CONTRAINDICATION_FOR"
"1689987","9859","IS_A_CONTRAINDICATION_FOR"
"1689987","1694962","IS_A_CONTRAINDICATION_FOR"
"1689987","1694963","IS_A_CONTRAINDICATION_FOR"
"1689987","7500","IS_A_CONTRAINDICATION_FOR"
"1689987","10534","IS_A_CONTRAINDICATION_FOR"
"1689987","10557","IS_A_CONTRAINDICATION_FOR"
"1689987","1694980","IS_A_CONTRAINDICATION_FOR"
"1689987","6320","IS_A_CONTRAINDICATION_FOR"
"1689987","1694989","IS_A_CONTRAINDICATION_FOR"
"1689987","7038","IS_A_CONTRAINDICATION_FOR"
"1689987","1695015","IS_A_CONTRAINDICATION_FOR"
"1689987","6158","IS_A_CONTRAINDICATION_FOR"
"1689987","7316","IS_A_CONTRAINDICATION_FOR"
"1689987","484","IS_A_CONTRAINDICATION_FOR"
"1689987","1695018","IS_A_CONTRAINDICATION_FOR"
"1689987","1695030","IS_A_CONTRAINDICATION_FOR"
"1689987","1695032","IS_A_CONTRAINDICATION_FOR"
"1689987","9999","IS_A_CONTRAINDICATION_FOR"
"1689987","8061","IS_A_CONTRAINDICATION_FOR"
"1689987","1695033","IS_A_CONTRAINDICATION_FOR"
"1689987","6165","IS_A_CONTRAINDICATION_FOR"
"1689987","8338","IS_A_CONTRAINDICATION_FOR"
"1689987","1695409","IS_AN_INDICATION_FOR"
"1689505","1695518","IS_A_CONTRAINDICATION_FOR"
"1689505","1695517","IS_A_CONTRAINDICATION_FOR"
"1689505","10505","IS_A_CONTRAINDICATION_FOR"
"1689505","1695482","IS_A_CONTRAINDICATION_FOR"
"1689505","1695481","IS_A_CONTRAINDICATION_FOR"
"1689505","1695269","IS_A_CONTRAINDICATION_FOR"
"1689505","1695268","IS_A_CONTRAINDICATION_FOR"
"1689505","9996","IS_A_CONTRAINDICATION_FOR"
"1689505","1695087","IS_A_CONTRAINDICATION_FOR"
"1689505","9198","IS_A_CONTRAINDICATION_FOR"
"1689505","1695086","IS_A_CONTRAINDICATION_FOR"
"1689505","1695034","IS_A_CONTRAINDICATION_FOR"
"1689505","5732","IS_A_CONTRAINDICATION_FOR"
"1689505","7316","IS_A_CONTRAINDICATION_FOR"
"1689505","6158","IS_A_CONTRAINDICATION_FOR"
"1689505","1695015","IS_A_CONTRAINDICATION_FOR"
"1689505","5705","IS_A_CONTRAINDICATION_FOR"
"1689505","1694939","IS_A_CONTRAINDICATION_FOR"
"1689505","6700","IS_A_CONTRAINDICATION_FOR"
"1689505","9018","IS_A_CONTRAINDICATION_FOR"
"1693309","5973","IS_AN_INDICATION_FOR"
"1693309","8665","IS_AN_INDICATION_FOR"
"1693309","1694912","IS_AN_INDICATION_FOR"
"1688186","1695145","IS_AN_INDICATION_FOR"
"1688186","1695144","IS_AN_INDICATION_FOR"
"1688186","1695143","IS_AN_INDICATION_FOR"
"1688186","1695142","IS_AN_INDICATION_FOR"
"1688186","1695141","IS_AN_INDICATION_FOR"
"1688186","1695140","IS_AN_INDICATION_FOR"
"1688186","1695139","IS_AN_INDICATION_FOR"
"1688186","1695138","IS_AN_INDICATION_FOR"
"1688186","1695137","IS_AN_INDICATION_FOR"
"1688186","1695136","IS_AN_INDICATION_FOR"
"1688186","1695135","IS_AN_INDICATION_FOR"
"1688186","1695134","IS_AN_INDICATION_FOR"
"1688186","1695133","IS_AN_INDICATION_FOR"
"1688186","1695132","IS_AN_INDICATION_FOR"
"1688186","10440","IS_AN_INDICATION_FOR"
"1687918","7502","IS_A_CONTRAINDICATION_FOR"
"1687918","1695330","IS_A_CONTRAINDICATION_FOR"
"1687918","10273","IS_A_CONTRAINDICATION_FOR"
"1687918","1694898","IS_A_CONTRAINDICATION_FOR"
"1687918","1694899","IS_A_CONTRAINDICATION_FOR"
"1687918","1694914","IS_A_CONTRAINDICATION_FOR"
"1687918","1694915","IS_A_CONTRAINDICATION_FOR"
"1687918","6348","IS_A_CONTRAINDICATION_FOR"
"1687918","9018","IS_A_CONTRAINDICATION_FOR"
"1687918","6700","IS_A_CONTRAINDICATION_FOR"
"1687918","8180","IS_A_CONTRAINDICATION_FOR"
"1687918","976","IS_A_CONTRAINDICATION_FOR"
"1687918","5754","IS_A_CONTRAINDICATION_FOR"
"1687918","1694961","IS_A_CONTRAINDICATION_FOR"
"1687918","900","IS_A_CONTRAINDICATION_FOR"
"1687918","10317","IS_A_CONTRAINDICATION_FOR"
"1687918","8326","IS_A_CONTRAINDICATION_FOR"
"1687918","1695104","IS_A_CONTRAINDICATION_FOR"
"1687918","1695105","IS_A_CONTRAINDICATION_FOR"
"1687918","8341","IS_A_CONTRAINDICATION_FOR"
"1687918","6462","IS_A_CONTRAINDICATION_FOR"
"1687918","1695111","IS_A_CONTRAINDICATION_FOR"
"1687918","1695112","IS_A_CONTRAINDICATION_FOR"
"1687918","1695113","IS_A_CONTRAINDICATION_FOR"
"1687918","1763","IS_A_CONTRAINDICATION_FOR"
"1687918","1695204","IS_A_CONTRAINDICATION_FOR"
"1687918","1334","IS_A_CONTRAINDICATION_FOR"
"1687918","1335","IS_A_CONTRAINDICATION_FOR"
"1687918","1336","IS_A_CONTRAINDICATION_FOR"
"1687918","1337","IS_A_CONTRAINDICATION_FOR"
"1687918","1338","IS_A_CONTRAINDICATION_FOR"
"1687918","1333","IS_A_CONTRAINDICATION_FOR"
"1687918","1695205","IS_A_CONTRAINDICATION_FOR"
"1687918","1695217","IS_A_CONTRAINDICATION_FOR"
"1687918","1695271","IS_AN_INDICATION_FOR"
"1687918","1695431","IS_AN_INDICATION_FOR"
"1687918","6353","IS_AN_INDICATION_FOR"
"1687918","7130","IS_AN_INDICATION_FOR"
"1687918","1695083","IS_AN_INDICATION_FOR"
"1687918","1695085","IS_AN_INDICATION_FOR"
"1687918","10340","IS_AN_INDICATION_FOR"
"1687918","1695259","IS_AN_INDICATION_FOR"
"1687918","1695260","IS_AN_INDICATION_FOR"
"1687918","1695116","AN_OFF_LABEL_USE_FOR"
"1687918","5624","AN_OFF_LABEL_USE_FOR"
"1687918","5602","AN_OFF_LABEL_USE_FOR"
"1687918","6641","AN_OFF_LABEL_USE_FOR"
"1687918","5846","AN_OFF_LABEL_USE_FOR"
"1687918","1695117","AN_OFF_LABEL_USE_FOR"
"1687918","6390","AN_OFF_LABEL_USE_FOR"
"1693222","561","IS_A_CONTRAINDICATION_FOR"
"1693222","1695014","IS_A_CONTRAINDICATION_FOR"
"1693222","7038","IS_A_CONTRAINDICATION_FOR"
"1693222","1694989","IS_A_CONTRAINDICATION_FOR"
"1693222","976","IS_A_CONTRAINDICATION_FOR"
"1693222","8180","IS_A_CONTRAINDICATION_FOR"
"1693222","6700","IS_A_CONTRAINDICATION_FOR"
"1693222","9018","IS_A_CONTRAINDICATION_FOR"
"1693222","5495","IS_A_CONTRAINDICATION_FOR"
"1693222","1694883","IS_A_CONTRAINDICATION_FOR"
"1691692","1695448","IS_AN_INDICATION_FOR"
"1691692","344","IS_AN_INDICATION_FOR"
"1687094","1695034","IS_A_CONTRAINDICATION_FOR"
"1687094","1695536","IS_A_CONTRAINDICATION_FOR"
"1687094","1695535","IS_A_CONTRAINDICATION_FOR"
"1687094","929","IS_A_CONTRAINDICATION_FOR"
"1687094","1695534","IS_A_CONTRAINDICATION_FOR"
"1687094","7754","IS_A_CONTRAINDICATION_FOR"
"1687094","10533","IS_A_CONTRAINDICATION_FOR"
"1687094","1695234","IS_A_CONTRAINDICATION_FOR"
"1687094","6990","IS_A_CONTRAINDICATION_FOR"
"1687094","1695230","IS_A_CONTRAINDICATION_FOR"
"1687094","10560","IS_A_CONTRAINDICATION_FOR"
"1687094","5751","IS_A_CONTRAINDICATION_FOR"
"1687094","345","IS_A_CONTRAINDICATION_FOR"
"1687094","1695229","IS_A_CONTRAINDICATION_FOR"
"1687094","1695228","IS_A_CONTRAINDICATION_FOR"
"1687094","1695227","IS_A_CONTRAINDICATION_FOR"
"1687094","1695226","IS_A_CONTRAINDICATION_FOR"
"1687094","1695225","IS_A_CONTRAINDICATION_FOR"
"1687094","1695224","IS_A_CONTRAINDICATION_FOR"
"1687094","1695223","IS_A_CONTRAINDICATION_FOR"
"1687094","1695222","IS_A_CONTRAINDICATION_FOR"
"1687094","5014","IS_A_CONTRAINDICATION_FOR"
"1687094","5016","IS_A_CONTRAINDICATION_FOR"
"1687094","8868","IS_A_CONTRAINDICATION_FOR"
"1687094","6773","IS_A_CONTRAINDICATION_FOR"
"1687094","10778","IS_A_CONTRAINDICATION_FOR"
"1687094","10779","IS_A_CONTRAINDICATION_FOR"
"1687094","7586","IS_A_CONTRAINDICATION_FOR"
"1687094","7591","IS_A_CONTRAINDICATION_FOR"
"1687094","6588","IS_A_CONTRAINDICATION_FOR"
"1687094","1695177","IS_A_CONTRAINDICATION_FOR"
"1687094","1695155","IS_A_CONTRAINDICATION_FOR"
"1687094","9326","IS_A_CONTRAINDICATION_FOR"
"1687094","1695126","IS_A_CONTRAINDICATION_FOR"
"1687094","8097","IS_A_CONTRAINDICATION_FOR"
"1687094","5826","IS_A_CONTRAINDICATION_FOR"
"1687094","5250","IS_A_CONTRAINDICATION_FOR"
"1687094","5202","IS_A_CONTRAINDICATION_FOR"
"1687094","1695125","IS_A_CONTRAINDICATION_FOR"
"1687094","626","IS_A_CONTRAINDICATION_FOR"
"1687094","1695102","IS_A_CONTRAINDICATION_FOR"
"1687094","1695101","IS_A_CONTRAINDICATION_FOR"
"1687094","2028","IS_A_CONTRAINDICATION_FOR"
"1687094","2478","IS_A_CONTRAINDICATION_FOR"
"1687094","1695100","IS_A_CONTRAINDICATION_FOR"
"1687094","1695099","IS_A_CONTRAINDICATION_FOR"
"1687094","1695098","IS_A_CONTRAINDICATION_FOR"
"1687094","6761","IS_A_CONTRAINDICATION_FOR"
"1687094","6625","IS_A_CONTRAINDICATION_FOR"
"1687094","6450","IS_A_CONTRAINDICATION_FOR"
"1687094","5626","IS_A_CONTRAINDICATION_FOR"
"1687094","7447","IS_A_CONTRAINDICATION_FOR"
"1687094","1695077","IS_A_CONTRAINDICATION_FOR"
"1687094","1695076","IS_A_CONTRAINDICATION_FOR"
"1687094","1695061","IS_A_CONTRAINDICATION_FOR"
"1687094","1380","IS_A_CONTRAINDICATION_FOR"
"1687094","1695060","IS_A_CONTRAINDICATION_FOR"
"1687094","1695059","IS_A_CONTRAINDICATION_FOR"
"1687094","1694899","IS_A_CONTRAINDICATION_FOR"
"1687094","7034","IS_A_CONTRAINDICATION_FOR"
"1687094","9585","IS_A_CONTRAINDICATION_FOR"
"1687094","579","IS_A_CONTRAINDICATION_FOR"
"1687094","8840","IS_A_CONTRAINDICATION_FOR"
"1687094","7615","IS_A_CONTRAINDICATION_FOR"
"1687094","1694901","IS_A_CONTRAINDICATION_FOR"
"1687094","8180","IS_A_CONTRAINDICATION_FOR"
"1687094","976","IS_A_CONTRAINDICATION_FOR"
"1687094","1694945","IS_A_CONTRAINDICATION_FOR"
"1687094","1694946","IS_A_CONTRAINDICATION_FOR"
"1687094","6813","IS_A_CONTRAINDICATION_FOR"
"1687094","5808","IS_A_CONTRAINDICATION_FOR"
"1687094","208","IS_A_CONTRAINDICATION_FOR"
"1687094","9859","IS_A_CONTRAINDICATION_FOR"
"1687094","7500","IS_A_CONTRAINDICATION_FOR"
"1687094","1695006","IS_A_CONTRAINDICATION_FOR"
"1687094","6025","IS_A_CONTRAINDICATION_FOR"
"1687094","6249","IS_A_CONTRAINDICATION_FOR"
"1687094","1695014","IS_A_CONTRAINDICATION_FOR"
"1687094","484","IS_A_CONTRAINDICATION_FOR"
"1687094","1695018","IS_A_CONTRAINDICATION_FOR"
"1687094","5531","IS_A_CONTRAINDICATION_FOR"
"1687094","1695025","IS_A_CONTRAINDICATION_FOR"
"1687094","8061","IS_A_CONTRAINDICATION_FOR"
"1687094","5732","IS_A_CONTRAINDICATION_FOR"
"1693141","6588","IS_A_CONTRAINDICATION_FOR"
"1693141","1695375","IS_A_CONTRAINDICATION_FOR"
"1693141","10466","IS_A_CONTRAINDICATION_FOR"
"1693141","1695254","IS_A_CONTRAINDICATION_FOR"
"1693141","1695252","IS_A_CONTRAINDICATION_FOR"
"1693141","6766","IS_A_CONTRAINDICATION_FOR"
"1693141","5731","IS_A_CONTRAINDICATION_FOR"
"1693141","560","IS_A_CONTRAINDICATION_FOR"
"1693141","1695206","IS_A_CONTRAINDICATION_FOR"
"1693141","1695205","IS_A_CONTRAINDICATION_FOR"
"1693141","1333","IS_A_CONTRAINDICATION_FOR"
"1693141","1338","IS_A_CONTRAINDICATION_FOR"
"1693141","1337","IS_A_CONTRAINDICATION_FOR"
"1693141","1336","IS_A_CONTRAINDICATION_FOR"
"1693141","1335","IS_A_CONTRAINDICATION_FOR"
"1693141","1334","IS_A_CONTRAINDICATION_FOR"
"1693141","1695204","IS_A_CONTRAINDICATION_FOR"
"1693141","9854","IS_A_CONTRAINDICATION_FOR"
"1693141","1695193","IS_A_CONTRAINDICATION_FOR"
"1693141","1694883","IS_A_CONTRAINDICATION_FOR"
"1693141","5495","IS_A_CONTRAINDICATION_FOR"
"1693141","7528","IS_A_CONTRAINDICATION_FOR"
"1693141","8677","IS_A_CONTRAINDICATION_FOR"
"1693141","1694945","IS_A_CONTRAINDICATION_FOR"
"1693141","1694946","IS_A_CONTRAINDICATION_FOR"
"1693141","1694989","IS_A_CONTRAINDICATION_FOR"
"1693141","7038","IS_A_CONTRAINDICATION_FOR"
"1693141","1695006","IS_A_CONTRAINDICATION_FOR"
"1693141","7562","IS_A_CONTRAINDICATION_FOR"
"1693141","1695015","IS_A_CONTRAINDICATION_FOR"
"1693141","6158","IS_A_CONTRAINDICATION_FOR"
"1693141","7316","IS_A_CONTRAINDICATION_FOR"
"1693141","1695027","IS_A_CONTRAINDICATION_FOR"
"1693141","1695028","IS_A_CONTRAINDICATION_FOR"
"1693141","7813","IS_A_CONTRAINDICATION_FOR"
"1693141","1695071","IS_A_CONTRAINDICATION_FOR"
"1693141","5895","IS_A_CONTRAINDICATION_FOR"
"1693141","9203","IS_A_CONTRAINDICATION_FOR"
"1693141","10554","IS_A_CONTRAINDICATION_FOR"
"1693141","1695082","IS_A_CONTRAINDICATION_FOR"
"1693141","10506","IS_A_CONTRAINDICATION_FOR"
"1693141","1695088","IS_A_CONTRAINDICATION_FOR"
"1693141","500","IS_A_CONTRAINDICATION_FOR"
"1693141","1695091","IS_A_CONTRAINDICATION_FOR"
"1693141","7085","IS_A_CONTRAINDICATION_FOR"
"1693141","6450","IS_A_CONTRAINDICATION_FOR"
"1693141","6625","IS_A_CONTRAINDICATION_FOR"
"1693141","6761","IS_A_CONTRAINDICATION_FOR"
"1693141","1695098","IS_A_CONTRAINDICATION_FOR"
"1693141","1695099","IS_A_CONTRAINDICATION_FOR"
"1693141","1695100","IS_A_CONTRAINDICATION_FOR"
"1693141","2478","IS_A_CONTRAINDICATION_FOR"
"1693141","2028","IS_A_CONTRAINDICATION_FOR"
"1693141","1695101","IS_A_CONTRAINDICATION_FOR"
"1693141","1695102","IS_A_CONTRAINDICATION_FOR"
"1693141","10047","IS_A_CONTRAINDICATION_FOR"
"1693141","1695178","IS_A_CONTRAINDICATION_FOR"
"1693141","10046","IS_A_CONTRAINDICATION_FOR"
"1693141","9859","IS_AN_INDICATION_FOR"
"1693141","5366","IS_AN_INDICATION_FOR"
"1693141","8394","IS_AN_INDICATION_FOR"
"1693141","5365","IS_AN_INDICATION_FOR"
"1693141","1695198","IS_AN_INDICATION_FOR"
"1693141","7233","IS_AN_INDICATION_FOR"
"1693141","6601","IS_AN_INDICATION_FOR"
"1693141","1695183","IS_AN_INDICATION_FOR"
"1693141","10256","IS_AN_INDICATION_FOR"
"1693141","1695093","AN_OFF_LABEL_USE_FOR"
"1693141","5199","AN_OFF_LABEL_USE_FOR"
"1693141","7642","AN_OFF_LABEL_USE_FOR"
"1693141","7865","AN_OFF_LABEL_USE_FOR"
"1693141","7855","AN_OFF_LABEL_USE_FOR"
"1693141","7454","AN_OFF_LABEL_USE_FOR"
"1693141","7456","AN_OFF_LABEL_USE_FOR"
"1693141","1695094","AN_OFF_LABEL_USE_FOR"
"1693141","10736","AN_OFF_LABEL_USE_FOR"
"1693141","6685","AN_OFF_LABEL_USE_FOR"
"1692594","1695675","IS_AN_INDICATION_FOR"
"1692594","1694961","IS_AN_INDICATION_FOR"
"1692594","5754","IS_AN_INDICATION_FOR"
"1689146","6227","IS_AN_INDICATION_FOR"
"1693546","1695716","IS_A_CONTRAINDICATION_FOR"
"1693546","10736","IS_A_CONTRAINDICATION_FOR"
"1693546","1695094","IS_A_CONTRAINDICATION_FOR"
"1693546","7456","IS_A_CONTRAINDICATION_FOR"
"1693546","7454","IS_A_CONTRAINDICATION_FOR"
"1693546","1695093","IS_A_CONTRAINDICATION_FOR"
"1687384","1695145","IS_AN_INDICATION_FOR"
"1687384","1695144","IS_AN_INDICATION_FOR"
"1687384","1695143","IS_AN_INDICATION_FOR"
"1687384","1695142","IS_AN_INDICATION_FOR"
"1687384","1695141","IS_AN_INDICATION_FOR"
"1687384","1695140","IS_AN_INDICATION_FOR"
"1687384","1695139","IS_AN_INDICATION_FOR"
"1687384","1695138","IS_AN_INDICATION_FOR"
"1687384","1695137","IS_AN_INDICATION_FOR"
"1687384","1695136","IS_AN_INDICATION_FOR"
"1687384","1695135","IS_AN_INDICATION_FOR"
"1687384","1695134","IS_AN_INDICATION_FOR"
"1687384","1695133","IS_AN_INDICATION_FOR"
"1687384","1695132","IS_AN_INDICATION_FOR"
"1687384","10440","IS_AN_INDICATION_FOR"
"1688985","1695179","IS_A_CONTRAINDICATION_FOR"
"1688985","6701","IS_A_CONTRAINDICATION_FOR"
"1688985","10533","IS_A_CONTRAINDICATION_FOR"
"1688985","1695253","IS_A_CONTRAINDICATION_FOR"
"1688985","8789","IS_A_CONTRAINDICATION_FOR"
"1688985","5925","IS_A_CONTRAINDICATION_FOR"
"1688985","1695239","IS_A_CONTRAINDICATION_FOR"
"1688985","6321","IS_A_CONTRAINDICATION_FOR"
"1688985","1695238","IS_A_CONTRAINDICATION_FOR"
"1688985","10652","IS_A_CONTRAINDICATION_FOR"
"1688985","1695234","IS_A_CONTRAINDICATION_FOR"
"1688985","6990","IS_A_CONTRAINDICATION_FOR"
"1688985","1695230","IS_A_CONTRAINDICATION_FOR"
"1688985","10560","IS_A_CONTRAINDICATION_FOR"
"1688985","5751","IS_A_CONTRAINDICATION_FOR"
"1688985","10778","IS_A_CONTRAINDICATION_FOR"
"1688985","10779","IS_A_CONTRAINDICATION_FOR"
"1688985","1695216","IS_A_CONTRAINDICATION_FOR"
"1688985","1695196","IS_A_CONTRAINDICATION_FOR"
"1688985","6601","IS_A_CONTRAINDICATION_FOR"
"1688985","1695183","IS_A_CONTRAINDICATION_FOR"
"1688985","10256","IS_A_CONTRAINDICATION_FOR"
"1688985","7006","IS_A_CONTRAINDICATION_FOR"
"1688985","7586","IS_A_CONTRAINDICATION_FOR"
"1688985","7591","IS_A_CONTRAINDICATION_FOR"
"1688985","6588","IS_A_CONTRAINDICATION_FOR"
"1688985","1695181","IS_A_CONTRAINDICATION_FOR"
"1688985","1948","IS_A_CONTRAINDICATION_FOR"
"1688985","1695180","IS_A_CONTRAINDICATION_FOR"
"1688985","8039","IS_A_CONTRAINDICATION_FOR"
"1688985","1694883","IS_A_CONTRAINDICATION_FOR"
"1688985","5495","IS_A_CONTRAINDICATION_FOR"
"1688985","7034","IS_A_CONTRAINDICATION_FOR"
"1688985","1694903","IS_A_CONTRAINDICATION_FOR"
"1688985","9018","IS_A_CONTRAINDICATION_FOR"
"1688985","6700","IS_A_CONTRAINDICATION_FOR"
"1688985","8180","IS_A_CONTRAINDICATION_FOR"
"1688985","976","IS_A_CONTRAINDICATION_FOR"
"1688985","1694945","IS_A_CONTRAINDICATION_FOR"
"1688985","1694946","IS_A_CONTRAINDICATION_FOR"
"1688985","6813","IS_A_CONTRAINDICATION_FOR"
"1688985","5808","IS_A_CONTRAINDICATION_FOR"
