"nct_id","nlm_download_date_description","study_first_submitted_date","results_first_submitted_date","disposition_first_submitted_date","last_update_submitted_date","study_first_submitted_qc_date","study_first_posted_date","study_first_posted_date_type","results_first_submitted_qc_date","results_first_posted_date","results_first_posted_date_type","disposition_first_submitted_qc_date","disposition_first_posted_date","disposition_first_posted_date_type","last_update_submitted_qc_date","last_update_posted_date","last_update_posted_date_type","start_month_year","start_date_type","start_date","verification_month_year","verification_date","completion_month_year","completion_date_type","completion_date","primary_completion_month_year","primary_completion_date_type","primary_completion_date","target_duration","study_type","acronym","baseline_population","brief_title","official_title","overall_status","last_known_status","phase","enrollment","enrollment_type","source","limitations_and_caveats","number_of_arms","number_of_groups","why_stopped","has_expanded_access","expanded_access_type_individual","expanded_access_type_intermediate","expanded_access_type_treatment","has_dmc","is_fda_regulated_drug","is_fda_regulated_device","is_unapproved_device","is_ppsd","is_us_export","biospec_retention","biospec_description","ipd_time_frame","ipd_access_criteria","ipd_url","plan_to_share_ipd","plan_to_share_ipd_description","created_at","updated_at","source_class","delayed_posting","expanded_access_nctid","expanded_access_status_for_nctid","fdaaa801_violation","baseline_type_units_analyzed","patient_registry"
"NCT01710683",NA,"2012-10-17",NA,NA,"2015-05-27","2012-10-17","2012-10-19","ESTIMATED",NA,NA,NA,NA,NA,NA,"2015-05-27","2015-05-28","ESTIMATED",NA,NA,NA,"2015-05","2015-05-31",NA,NA,NA,NA,NA,NA,NA,"OBSERVATIONAL",NA,NA,"Early Mobilisation Following Discectomy","Early Mobilisation Following Discectomy","WITHDRAWN",NA,NA,0,"ACTUAL","Northern Orthopaedic Division, Denmark",NA,NA,2,"No participants were enrolled.","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT02461680",NA,"2015-05-27",NA,NA,"2019-08-19","2015-06-02","2015-06-03","ESTIMATED",NA,NA,NA,NA,NA,NA,"2019-08-19","2019-08-21","ACTUAL","2016-02","ACTUAL","2016-02-29","2019-08","2019-08-31","2019-02","ACTUAL","2019-02-28","2019-02","ACTUAL","2019-02-28",NA,"INTERVENTIONAL","FLEXOR",NA,"Treatment for Partial Lesions of the Fingers Flexor Tendons : Tangential Resection or Direct Suture","Management Of The Partial Lesions Of The Fingers Flexor Tendons, Prospective Randomized Trial Of 2 Surgical Procedures: Tangential Resection Versus Direct Suture","TERMINATED",NA,"NA",3,"ACTUAL","University Hospital, Strasbourg, France",NA,2,NA,"recruitment difficulty","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 12:12:25.886051","2024-09-15 12:12:25.886051","OTHER",NA,NA,NA,NA,NA,NA
"NCT04990466",NA,"2021-08-03",NA,NA,"2024-01-17","2021-08-03","2021-08-04","ACTUAL",NA,NA,NA,NA,NA,NA,"2024-01-17","2024-01-19","ACTUAL","2021-09-30","ESTIMATED","2021-09-30","2024-01","2024-01-31","2022-02-28","ESTIMATED","2022-02-28","2021-12-31","ESTIMATED","2021-12-31",NA,"INTERVENTIONAL","BRILIFE002",NA,"Phase 2b/3 Trial of VSV-ΔG SARS-CoV-2 Vaccine (BRILIFE) Against Approved Comparator Vaccine.","A Phase IIb/3 Randomized, Multi-Center, Placebo-Controlled Noninferiority Study to Evaluate the Safety, Immunogenicity and Potential Efficacy of an rVSV-SARS-CoV-2-S Vaccine (IIBR-100) in Adults Compared to an Approved COVID-19 Vaccine","WITHDRAWN",NA,"PHASE2/PHASE3",0,"ACTUAL","NeuroRx, Inc.",NA,2,NA,"Production of the BriLife vaccine was halted by government sponsor","f",NA,NA,NA,"t","f","f",NA,NA,NA,NA,NA,"Protocol, SAP, and ICF will be shared prior to first patient visit. CSR will be shared following regulatory determination","all qualified researchers",NA,"YES","Vaccination dates, baseline serology, and post-vaccination serology/cellular immunity/infection rates will be shared","2024-09-17 00:14:45.348191","2024-09-17 00:14:45.348191","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT00851682",NA,"2009-02-25","2015-09-08",NA,"2018-10-05","2009-02-25","2009-02-26","ESTIMATED","2015-10-14","2015-11-11","ESTIMATED",NA,NA,NA,"2018-10-05","2018-10-31","ACTUAL","2009-01",NA,"2009-01-31","2018-10","2018-10-31","2014-02","ACTUAL","2014-02-28","2014-02","ACTUAL","2014-02-28",NA,"INTERVENTIONAL",NA,NA,"Feasibility Study of Prostate Tumor Localization for Focal Cryoablation of Prostate Carcinoma","Feasibility Study of Prostate Tumor Localization for Focal Cryoablation of Prostate Carcinoma","TERMINATED",NA,"NA",65,"ACTUAL","Washington University School of Medicine",NA,2,NA,"Enrollment was stopped and will not resume. Participants are no longer being examined.","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT03958669",NA,"2018-12-16",NA,NA,"2024-03-28","2019-05-17","2019-05-22","ACTUAL",NA,NA,NA,NA,NA,NA,"2024-03-28","2024-04-01","ACTUAL","2019-11-01","ACTUAL","2019-11-01","2024-03","2024-03-31","2023-05-31","ACTUAL","2023-05-31","2022-12-31","ACTUAL","2022-12-31",NA,"OBSERVATIONAL","e:Med-HCC-2",NA,"Fingerprint Characterization Tyrosine Kinase Inhibitors in Advanced HCC","Prospective Evaluation of Image and Molecular Fingerprint Characterization to Guide Treatment With Tyrosine Kinase Inhibitors in Hepatocellular Carcinoma","TERMINATED",NA,NA,2,"ACTUAL","University Hospital Tuebingen",NA,NA,1,"Slow recruitment due to COVID-19 pandemic and several newly approved treatment options","f",NA,NA,NA,"f","f","f",NA,NA,"f","SAMPLES_WITH_DNA","Tumor Biopsy, Circulating DNA, PBMCs, Circulating Metabolites",NA,NA,NA,"NO",NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","OTHER",NA,NA,NA,NA,NA,"f"
"NCT04591028",NA,"2020-10-15",NA,NA,"2023-07-17","2020-10-15","2020-10-19","ACTUAL",NA,NA,NA,NA,NA,NA,"2023-07-17","2023-07-19","ACTUAL","2022-01","ESTIMATED","2022-01-31","2023-07","2023-07-31","2022-08-10","ESTIMATED","2022-08-10","2022-01","ESTIMATED","2022-01-31",NA,"INTERVENTIONAL",NA,NA,"A Study to Evaluate Indocyanine Green Lymphangiography to Improve Lymphadenectomy in Gastric Cancer Patients","Indocyanine Green Lymphangiography as a Tool for Improving Lymphadenectomy in Gastric Cancer","WITHDRAWN",NA,"PHASE4",0,"ACTUAL","Mayo Clinic",NA,1,NA,"Lack of funding.","f",NA,NA,NA,"f","t","f",NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,"2024-09-16 11:36:05.560137","2024-09-16 11:36:05.560137","OTHER",NA,NA,NA,NA,NA,NA
"NCT02770443",NA,"2016-04-29",NA,NA,"2020-01-21","2016-05-11","2016-05-12","ESTIMATED",NA,NA,NA,NA,NA,NA,"2020-01-21","2020-01-23","ACTUAL","2016-02-19","ACTUAL","2016-02-19","2020-01","2020-01-31","2019-11","ACTUAL","2019-11-30","2017-08-24","ACTUAL","2017-08-24",NA,"INTERVENTIONAL","WrecEF",NA,"Withdrawal of Medication in Recovered DCM","Withdrawal of Beta- Blockers and ACE Inhibitors After Left Ventricular Systolic Function Recovery in Patient With Dilated Cardiomyopathy: A Randomized Control Trial.","TERMINATED",NA,"NA",22,"ACTUAL","McGill University",NA,2,NA,"Study closed to recruitment early as endpoints were reached on several participants","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT00791336",NA,"2008-11-13","2017-03-09",NA,"2017-06-29","2008-11-13","2008-11-14","ESTIMATED","2017-06-29","2017-07-28","ACTUAL",NA,NA,NA,"2017-06-29","2017-07-28","ACTUAL","2008-08",NA,"2008-08-31","2017-06","2017-06-30","2011-03","ACTUAL","2011-03-31","2011-03","ACTUAL","2011-03-31",NA,"INTERVENTIONAL",NA,NA,"Study to Evaluate Using Nelfinavir With Chemoradiation for Non-small Cell Lung Cancer","A Phase II Trial of the HIV Protease Inhibitor Nelfinavir and Concurrent Radiation and Chemotherapy in Patients With Stage III Non Small Cell Lung Cancer","TERMINATED",NA,"PHASE2",1,"ACTUAL","University of Iowa","There was only one treated participant. Conclusions cannot be drawn from these data due to limited sampling size.",1,NA,"Poor enrollment.","f",NA,NA,NA,"t","t","f",NA,NA,"f",NA,NA,NA,NA,NA,"NO","Terminated due to poor enrollment; lack of data to share.","2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","OTHER",NA,NA,NA,NA,NA,NA
"NCT06080165",NA,"2023-09-29",NA,NA,"2024-07-08","2023-10-05","2023-10-12","ACTUAL",NA,NA,NA,NA,NA,NA,"2024-07-08","2024-07-10","ACTUAL","2024-07","ESTIMATED","2024-07-31","2024-07","2024-07-31","2028-06","ESTIMATED","2028-06-30","2028-06","ESTIMATED","2028-06-30",NA,"INTERVENTIONAL",NA,NA,"Sirolimus for Improving Social Abilities in People With PTEN Germline Mutations","A Randomized Controlled Double-Blind Trial of Sirolimus for Improving Social Abilities in People With PTEN Germline Mutations","WITHDRAWN",NA,"PHASE1/PHASE2",0,"ACTUAL","Stanford University",NA,2,NA,"Investigator decided not to proceed with the trial.","f",NA,NA,NA,"t","t","f",NA,NA,"f",NA,NA,"shared twice per year",NA,"https://nda.nih.gov/","YES","Data will be on the National Institute of Mental Health Data Archive (NDA).","2024-09-15 12:12:25.886051","2024-09-15 12:12:25.886051","OTHER",NA,NA,NA,NA,NA,NA
"NCT00243828",NA,"2005-10-24",NA,NA,"2015-09-14","2005-10-24","2005-10-25","ESTIMATED",NA,NA,NA,NA,NA,NA,"2015-09-14","2015-09-15","ESTIMATED","2005-11",NA,"2005-11-30","2007-03","2007-03-31","2007-12","ACTUAL","2007-12-31","2007-09","ACTUAL","2007-09-30",NA,"INTERVENTIONAL",NA,NA,"Assessment of the Effectivity of Total-face Mask for Noninvasive Ventilation During Acute Respiratory Failure","Assessment of the Effectivity of Total-face Mask for Noninvasive Ventilation During Acute Respiratory Failure: a Randomized Controlled Trial.","TERMINATED",NA,"PHASE4",300,NA,"Corporacion Parc Tauli",NA,NA,NA,"Very low rate of recruitment anticipated futility of pursuing the study","f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 11:55:15.80435","2024-09-16 11:55:15.80435","OTHER",NA,NA,NA,NA,NA,NA
"NCT04120610",NA,"2019-10-07",NA,NA,"2023-01-09","2019-10-07","2019-10-09","ACTUAL",NA,NA,NA,NA,NA,NA,"2023-01-09","2023-01-11","ACTUAL","2019-12-09","ACTUAL","2019-12-09","2023-01","2023-01-31","2022-11-21","ACTUAL","2022-11-21","2022-11-21","ACTUAL","2022-11-21","6 Months","OBSERVATIONAL",NA,NA,"FlowMet-R Blood Flow Measurement for the Diagnosis of Peripheral Artery Disease and Critical Limb Ischemia","FlowMet-R Blood Flow Measurement for the Diagnosis of Peripheral Artery Disease (PAD) and Critical Limb Ischemia (CLI)","TERMINATED",NA,NA,196,"ACTUAL","Medtronic Endovascular",NA,NA,2,"Sponsor decision to terminate study prior to reaching full sample size.","f",NA,NA,NA,"f","f","t",NA,NA,"f",NA,NA,NA,NA,NA,"NO",NA,"2024-09-16 22:59:40.430939","2024-09-16 22:59:40.430939","INDUSTRY",NA,NA,NA,NA,NA,"t"
"NCT03897062",NA,"2019-03-26",NA,NA,"2023-02-13","2019-03-29","2019-04-01","ACTUAL",NA,NA,NA,NA,NA,NA,"2023-02-13","2023-02-15","ACTUAL","2019-08-26","ACTUAL","2019-08-26","2023-02","2023-02-28","2022-07-31","ACTUAL","2022-07-31","2022-07-31","ACTUAL","2022-07-31",NA,"INTERVENTIONAL",NA,NA,"Suvorexant in the Management Comorbid Sleep Disorder and Alcohol Dependence","A Placebo-controlled, Double -Blind Randomised Trial of Suvorexant in the Management Comorbid Sleep Disorder and Alcohol Dependence","TERMINATED",NA,"PHASE2",22,"ACTUAL","The Florey Institute of Neuroscience and Mental Health",NA,2,NA,"Recruitment problems during covid lockdowns resulted in Merck ceasing supply of suvorexant/placebo","f",NA,NA,NA,"t","t","f",NA,NA,"t",NA,NA,NA,NA,NA,"NO",NA,"2024-09-16 11:36:05.560137","2024-09-16 11:36:05.560137","OTHER",NA,NA,NA,NA,NA,NA
"NCT01410695",NA,"2011-08-04",NA,"2018-12-12","2018-12-13","2011-08-04","2011-08-05","ESTIMATED",NA,NA,NA,"2018-12-13","2018-12-17","ACTUAL","2018-12-13","2018-12-17","ACTUAL","2011-07",NA,"2011-07-31","2018-12","2018-12-31","2015-10","ACTUAL","2015-10-31","2015-10","ACTUAL","2015-10-31",NA,"INTERVENTIONAL",NA,NA,"Masitinib in Refractory Active Rheumatoid Arthritis","A 24-week With Possible Extension, Prospective, Multicenter, Randomised, Double-blind, Controlled, 3-parallel Groups, Phase 2b/3 Study to Compare Efficacy and Safety of Masitinib at 3 and 6 mg/kg/Day to Methotrexate, With a Randomisation 1:1:1, in Treatment of Patients With Active Rheumatoid Arthritis With Inadequate Response to 1. Methotrexate or to 2. Any DMARD Including at Least One Biologic Drug if Patients Previously Failed Methotrexate or to 3. Methotrexate in Combination With Any DMARD Including Biologic Drugs","TERMINATED",NA,"PHASE2/PHASE3",324,"ACTUAL","AB Science",NA,3,NA,"Sponsor decision based on portfolio prioritization","f",NA,NA,NA,"t","t","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT03429374",NA,"2018-01-09",NA,NA,"2021-05-20","2018-02-05","2018-02-12","ACTUAL",NA,NA,NA,NA,NA,NA,"2021-05-20","2021-05-24","ACTUAL","2018-11-19","ACTUAL","2018-11-19","2021-05","2021-05-31","2021-05-20","ACTUAL","2021-05-20","2021-05-20","ACTUAL","2021-05-20",NA,"INTERVENTIONAL",NA,NA,"Tacks Versus Glue for Mesh Fixation in Laparoscopic Ventral Hernia Repair Treating Defects Between 2 and 5 cm Width","Tacks Versus Glue for Mesh Fixation in Laparoscopic Ventral Hernia Repair Treating Defects Between 2 and 5 cm Width: a Multicenter Randomized Controlled Study","TERMINATED",NA,"NA",16,"ACTUAL","Duomed",NA,2,NA,"Limited patient enrollment","f",NA,NA,NA,NA,"f","f",NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,"2024-09-15 00:32:43.143115","2024-09-15 00:32:43.143115","INDUSTRY",NA,NA,NA,NA,NA,NA
