"nct_id","nlm_download_date_description","study_first_submitted_date","results_first_submitted_date","disposition_first_submitted_date","last_update_submitted_date","study_first_submitted_qc_date","study_first_posted_date","study_first_posted_date_type","results_first_submitted_qc_date","results_first_posted_date","results_first_posted_date_type","disposition_first_submitted_qc_date","disposition_first_posted_date","disposition_first_posted_date_type","last_update_submitted_qc_date","last_update_posted_date","last_update_posted_date_type","start_month_year","start_date_type","start_date","verification_month_year","verification_date","completion_month_year","completion_date_type","completion_date","primary_completion_month_year","primary_completion_date_type","primary_completion_date","target_duration","study_type","acronym","baseline_population","brief_title","official_title","overall_status","last_known_status","phase","enrollment","enrollment_type","source","limitations_and_caveats","number_of_arms","number_of_groups","why_stopped","has_expanded_access","expanded_access_type_individual","expanded_access_type_intermediate","expanded_access_type_treatment","has_dmc","is_fda_regulated_drug","is_fda_regulated_device","is_unapproved_device","is_ppsd","is_us_export","biospec_retention","biospec_description","ipd_time_frame","ipd_access_criteria","ipd_url","plan_to_share_ipd","plan_to_share_ipd_description","created_at","updated_at","source_class","delayed_posting","expanded_access_nctid","expanded_access_status_for_nctid","fdaaa801_violation","baseline_type_units_analyzed","patient_registry"
"NCT01180049",NA,"2010-08-09","2016-11-04",NA,"2019-05-17","2010-08-10","2010-08-11","ESTIMATED","2017-04-11","2017-05-19","ACTUAL",NA,NA,NA,"2019-05-17","2019-05-20","ACTUAL","2011-03","ACTUAL","2011-03-31","2019-05","2019-05-31","2018-06","ACTUAL","2018-06-30","2015-11","ACTUAL","2015-11-30",NA,"INTERVENTIONAL",NA,"The analysis was done on Intent-to-Treat (ITT) Population which included all participants who were randomized, with study drug assignment designated according to initial randomization, regardless of whether participants received study drug or received a different drug dose from that to which they were randomized.","Comparison Of 2 Doses Of Temsirolimus (Torisel) In Patients With Mantle Cell Lymphoma","A RANDOMIZED PHASE 4 STUDY COMPARING 2 INTRAVENOUS TEMSIROLIMUS (TEMSR) REGIMENS IN SUBJECTS WITH RELAPSED, REFRACTORY MANTLE CELL LYMPHOMA","COMPLETED",NA,"PHASE4",101,"ACTUAL","Pfizer","Overall Survival was not collected for the intended duration as planned initially, no long term follow up was conducted according to amendment in protocol. Hence overall survival results were limited",2,NA,NA,"f",NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.pfizer.com/science/clinical_trials/trial_data_and_results/data_requests","YES","Pfizer will provide access to individual de-identified participant data and related study documents (e.g. protocol, Statistical Analysis Plan (SAP), Clinical Study Report (CSR)) upon request from qualified researchers, and subject to certain criteria, conditions, and exceptions. Further details on Pfizer's data sharing criteria and process for requesting access can be found at: https://www.pfizer.com/science/clinical_trials/trial_data_and_results/data_requests.","2024-09-15 12:24:53.847654","2024-09-15 12:24:53.847654","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT06236113",NA,"2024-01-12","2024-02-16",NA,"2024-05-16","2024-01-23","2024-02-01","ACTUAL","2024-05-16","2024-05-21","ACTUAL",NA,NA,NA,"2024-05-16","2024-05-21","ACTUAL","2021-10-01","ACTUAL","2021-10-01","2024-05","2024-05-31","2023-06-26","ACTUAL","2023-06-26","2023-03-19","ACTUAL","2023-03-19",NA,"INTERVENTIONAL",NA,"Adult trauma in-patients with three or more rib fractures. Inclusion criteria were: age \>18 years, known blunt chest trauma with \>three rib fractures, and able to provide informed consent.","Low Dose Ketamine for Blunt Thoracic Trauma","Low Dose Ketamine for Blunt Thoracic Trauma: A Prospective Randomized Trial","COMPLETED",NA,"PHASE4",50,"ACTUAL","North Memorial Health Care",NA,2,NA,NA,"f",NA,NA,NA,"f","t","f",NA,NA,"t",NA,NA,NA,NA,NA,"NO",NA,"2024-09-15 12:24:53.847654","2024-09-15 12:24:53.847654","OTHER",NA,NA,NA,NA,NA,NA
"NCT01933880",NA,"2013-08-28","2013-11-25",NA,"2014-09-16","2013-08-28","2013-09-02","ESTIMATED","2014-09-16","2014-09-17","ESTIMATED",NA,NA,NA,"2014-09-16","2014-09-17","ESTIMATED","2009-12",NA,"2009-12-31","2014-09","2014-09-30","2010-11","ACTUAL","2010-11-30","2010-11","ACTUAL","2010-11-30",NA,"INTERVENTIONAL",NA,"Full Analysis Set (FAS) includes all of the subjects who received at least one study drug therapy and at least one efficacy evaluation. FAS for normal group included all participants who received baseline assessment scale evaluation and had at least one endpoint assessment scale evaluation.","A Long Term Post-Marketing Study on the EffIcacy and Safety of Osmotic Release Oral System (OROS) Methylphenidate on the Cognitive Functions of Attention Deficit Hyperactivity Disorder (ADHD) Participants","An Open, Self-Controlled, Prospective Study of Concerta on Cognitive Functions, Efficacy and Tolerance in the Pediatric Patients With Attention Deficit Hyperactivity Disorder (ADHD)","COMPLETED",NA,"PHASE4",194,"ACTUAL","Xian-Janssen Pharmaceutical Ltd.",NA,2,NA,NA,"f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 11:36:05.560137","2024-09-16 11:36:05.560137","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT01766050",NA,"2013-01-10","2014-04-28",NA,"2014-05-27","2013-01-10","2013-01-11","ESTIMATED","2014-05-27","2014-06-27","ESTIMATED",NA,NA,NA,"2014-05-27","2014-06-27","ESTIMATED","2013-01",NA,"2013-01-31","2014-05","2014-05-31","2013-04","ACTUAL","2013-04-30","2013-04","ACTUAL","2013-04-30",NA,"INTERVENTIONAL",NA,"All participants who received study drug.","Study to Evaluate Effect of Belatacept on Pharmacokinetics of Inje Cocktail in Healthy Volunteers","An Open-label, Single-sequence Study of the Effect of Belatacept on the Pharmacokinetics of Caffeine, Losartan, Omeprazole, Dextromethorphan, and Midazolam Administered as Inje Cocktail in Healthy Subjects","COMPLETED",NA,"PHASE4",45,"ACTUAL","Bristol-Myers Squibb",NA,1,NA,NA,"f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 23:33:55.825213","2024-09-15 23:33:55.825213","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT02413918",NA,"2015-04-07","2015-04-21",NA,"2018-01-12","2015-04-09","2015-04-10","ESTIMATED","2017-10-05","2017-11-06","ACTUAL",NA,NA,NA,"2018-01-12","2018-02-08","ACTUAL","2012-04",NA,"2012-04-30","2017-05","2017-05-31","2015-04","ACTUAL","2015-04-30","2015-04","ACTUAL","2015-04-30",NA,"INTERVENTIONAL",NA,"Subject meeting inclusion criteria","Iloperidone in Mixed States of Bipolar Disorder","Open Label Study of Iloperidone (IL) as Adjunctive Treatment in Mixed States (MS) of Bipolar Disorder (BD)","COMPLETED",NA,"PHASE4",41,"ACTUAL","The University of Texas Health Science Center at San Antonio",NA,1,NA,NA,"f",NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 23:33:55.825213","2024-09-15 23:33:55.825213","OTHER",NA,NA,NA,NA,NA,NA
"NCT03624881",NA,"2018-07-26","2022-06-28",NA,"2023-06-28","2018-08-07","2018-08-10","ACTUAL","2022-08-15","2022-09-07","ACTUAL",NA,NA,NA,"2023-06-28","2023-07-03","ACTUAL","2018-09-04","ACTUAL","2018-09-04","2023-06","2023-06-30","2021-06-28","ACTUAL","2021-06-28","2021-06-28","ACTUAL","2021-06-28",NA,"INTERVENTIONAL",NA,"The safety set consisted of all enrolled participants who had undergone insertion of the STSF or ST catheter and use of the VISITAG SURPOINT module with EPU.","Evaluation of VISITAG SURPOINT™ Module With External Processing Unit (EPU)","Evaluation of the VISITAG SURPOINT™ Module With External Processing Unit (EPU) When Used With the THERMOCOOL SMARTTOUCH® SF and the THERMOCOOL SMARTTOUCH® Catheters for Pulmonary Vein Isolation (PVI) (SURPOINT COA)","COMPLETED",NA,"PHASE4",333,"ACTUAL","Biosense Webster, Inc.",NA,1,NA,NA,"f",NA,NA,NA,"f","f","t",NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,"2024-09-15 23:33:55.825213","2024-09-15 23:33:55.825213","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT03796728",NA,"2018-12-17","2021-06-09",NA,"2021-07-09","2019-01-07","2019-01-08","ACTUAL","2021-07-09","2021-07-28","ACTUAL",NA,NA,NA,"2021-07-09","2021-07-28","ACTUAL","2018-12-19","ACTUAL","2018-12-19","2021-07","2021-07-31","2020-06-09","ACTUAL","2020-06-09","2020-06-09","ACTUAL","2020-06-09",NA,"INTERVENTIONAL","LIPS","Safety Analysis Set included all participants who were consented and enrolled into this study and were treated with the investigational product Juvéderm® VOLIFT™ with Lidocaine.","A Study to Evaluate the Effectiveness of Juvéderm® VOLIFT™ With Lidocaine for Lip Augmentation","LIPS: A Prospective, Open-label Study to Evaluate the Effectiveness of Juvéderm® VOLIFT™ With Lidocaine for Lip Augmentation","COMPLETED",NA,"PHASE4",60,"ACTUAL","Allergan",NA,1,NA,NA,"f",NA,NA,NA,NA,"f","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 23:39:50.689837","2024-09-15 23:39:50.689837","INDUSTRY",NA,NA,NA,NA,NA,NA
"NCT03066622",NA,"2016-12-06","2019-07-03",NA,"2022-01-02","2017-02-23","2017-02-28","ACTUAL","2019-08-01","2019-08-20","ACTUAL",NA,NA,NA,"2022-01-02","2022-01-12","ACTUAL","2016-07","ACTUAL","2016-07-31","2018-06","2018-06-30","2018-05-20","ACTUAL","2018-05-20","2018-05-17","ACTUAL","2018-05-17",NA,"INTERVENTIONAL","Olanzapine","The baseline population included is 119 as 5 subjects withdrew after providing informed consent.","Olanzapine for Acute Headaches","Oral Rapidly Dissolving Olanzapine for Acute Primary Headache in the Emergency Department Setting: A Feasibility Trial","COMPLETED",NA,"PHASE4",122,"ACTUAL","HealthPartners Institute",NA,2,NA,NA,"f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO",NA,"2024-09-16 11:42:54.02049","2024-09-16 11:42:54.02049","OTHER",NA,NA,NA,NA,NA,NA
"NCT00781768",NA,"2008-10-27","2017-12-14",NA,"2018-06-29","2008-10-28","2008-10-29","ESTIMATED","2018-06-29","2018-07-27","ACTUAL",NA,NA,NA,"2018-06-29","2018-07-27","ACTUAL","2003-08",NA,"2003-08-31","2018-06","2018-06-30","2010-07","ACTUAL","2010-07-31","2008-10","ACTUAL","2008-10-31",NA,"INTERVENTIONAL",NA,"Autologous and allogeneic hematopoietic stem cell transplant patients.","Odansetron and Dexamethasone Alone vs. Odansetron, Dexamethason and Apreptant to Prevent Nausea","Prevention of Nausea and Vomitting Associated With Stem Cell Transplant: Results of a Prospective, Randomized Trial of Aprepitant Used With Highly Emetogenic Preparative Regimens","COMPLETED",NA,"PHASE4",181,"ACTUAL","Loyola University","There are no limitations or caveats to disclose.",2,NA,NA,"f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 23:39:50.689837","2024-09-15 23:39:50.689837","OTHER",NA,NA,NA,NA,NA,NA
"NCT02891174",NA,"2016-08-26","2019-03-19",NA,"2019-05-03","2016-08-31","2016-09-07","ESTIMATED","2019-05-03","2019-05-23","ACTUAL",NA,NA,NA,"2019-05-03","2019-05-23","ACTUAL","2016-12-01","ACTUAL","2016-12-01","2019-05","2019-05-31","2018-06-20","ACTUAL","2018-06-20","2018-03-31","ACTUAL","2018-03-31",NA,"INTERVENTIONAL",NA,"Baseline characteristics were measured after the first milestone, after 6 total participants who were initially randomized declined the study medication.","The Effect of Ibuprofen on Post-partum Blood Pressure in Women With Hypertensive Disorders of Pregnancy","A Randomized-controlled Trial to Assess the Effect of Ibuprofen on Post-partum Blood Pressure in Women With Hypertensive Disorders of Pregnancy","COMPLETED",NA,"PHASE4",74,"ACTUAL","University of Michigan",NA,2,NA,NA,"f",NA,NA,NA,"f","t","f",NA,NA,"f",NA,NA,NA,NA,NA,"NO",NA,"2024-09-15 23:46:20.200255","2024-09-15 23:46:20.200255","OTHER",NA,NA,NA,NA,NA,NA
"NCT02714400",NA,"2016-02-26","2020-03-23",NA,"2020-04-07","2016-03-15","2016-03-21","ESTIMATED","2020-04-07","2020-04-17","ACTUAL",NA,NA,NA,"2020-04-07","2020-04-17","ACTUAL","2016-03","ACTUAL","2016-03-31","2020-04","2020-04-30","2016-07","ACTUAL","2016-07-31","2016-07","ACTUAL","2016-07-31",NA,"INTERVENTIONAL",NA,"Age 35-64 years","The Impact of Venlafaxine on Apnea Hypopnea Index in Obstructive Sleep Apnea","The Impact of Venlafaxine on Apnea Hypopnea Index in Patients With Obstructive Sleep Apnea","COMPLETED",NA,"PHASE4",20,"ACTUAL","University of California, San Diego",NA,2,NA,NA,"f",NA,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-15 23:46:20.200255","2024-09-15 23:46:20.200255","OTHER",NA,NA,NA,NA,NA,NA
"NCT03305666",NA,"2017-10-04","2021-07-08",NA,"2021-09-02","2017-10-06","2017-10-10","ACTUAL","2021-08-02","2021-08-25","ACTUAL",NA,NA,NA,"2021-09-02","2021-09-29","ACTUAL","2017-10-05","ACTUAL","2017-10-05","2021-09","2021-09-30","2021-01-31","ACTUAL","2021-01-31","2020-07-20","ACTUAL","2020-07-20",NA,"INTERVENTIONAL",NA,"The baseline analysis did not include two patients who were withdrawn from the study.","Trial of Injected Liposomal Bupivacaine vs Bupivacaine Infusion After Surgical Stabilization of Rib Fractures","A Randomized Clinical Trial of Single Dose Liposomal Bupivacaine Delivered Via VATS Intercostal Nerve Block vs. Continuous Bupivacaine Infusion Delivered Via Indwelling Subscapular Catheter After Surgical Stabilization of Rib Fractures","COMPLETED",NA,"PHASE4",36,"ACTUAL","Denver Health and Hospital Authority","There were no limitations that created barriers to the completion of this project. While this was expected at the outset of this exploratory trial, there was a relatively small sample size with a wide range of fractures for individual participants. Underpowering likely limited analyses of secondary outcomes such as narcotic requirements and failure of LRA. The study also excluded patients with GCS \< 8, so caution should be exercised when extrapolating to mechanically ventilated patients.",2,NA,NA,"f",NA,NA,NA,"t","t","f",NA,NA,"t",NA,NA,NA,NA,NA,"NO",NA,"2024-09-15 23:46:20.200255","2024-09-15 23:46:20.200255","OTHER",NA,NA,NA,NA,NA,NA
"NCT01396395",NA,"2011-07-15","2015-09-14",NA,"2016-03-15","2011-07-15","2011-07-18","ESTIMATED","2016-03-15","2016-04-14","ESTIMATED",NA,NA,NA,"2016-03-15","2016-04-14","ESTIMATED","2011-09",NA,"2011-09-30","2016-03","2016-03-31","2014-05","ACTUAL","2014-05-31","2014-05","ACTUAL","2014-05-31",NA,"INTERVENTIONAL","SIGMART","Full analysis set (FAS) included all randomized subjects who received at least one dose of study treatment.","Research on Nicorandil Treatment of Patients Diagnosed as CHD (Coronary Heart Disease) With Stable Angina","A Prospective, Multi-center, Random, Open-label Research on Nicorandil Treatment of Patients Diagnosed as CHD (Coronary Heart Disease) With Stable Angina","COMPLETED",NA,"PHASE4",402,"ACTUAL","Merck KGaA, Darmstadt, Germany",NA,2,NA,NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-09-16 11:42:54.02049","2024-09-16 11:42:54.02049","INDUSTRY",NA,NA,NA,NA,NA,NA
